solvent,catalyst_formula,catalyst_role,temperature_c,is_compatible,label_source,label_reason,boiling_point_c,temperature_c,chem21_rank,solvent_ghs_count,solvent_incompatibility_count,catalyst_incompatibility_count,is_acid_role,is_base_role,catalyst_supports_role,is_heated,has_H225,has_H301,has_H302,has_H311,has_H312,has_H315,has_H319,has_H331,has_H332,has_H336,has_H370
Water,H2SO4,acid_catalyst,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,25.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,acid_catalyst,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,25.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,acid_catalyst,40.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,40.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,acid_catalyst,60.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,60.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,acid_catalyst,90.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,90.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,acid_catalyst,120.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as acid_catalyst.,100.0,120.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,25.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,25.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,40.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,40.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,60.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,60.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,90.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,90.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,H2SO4,strong_acid,120.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for H2SO4 as strong_acid.,100.0,120.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,40.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,40.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,60.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,60.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,90.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,90.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,acid_catalyst,120.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as acid_catalyst.,100.0,120.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,strong_acid,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as strong_acid.,100.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,strong_acid,25.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as strong_acid.,100.0,25.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Water,HCl,strong_acid,40.0,1,curated_rule_bootstrap,Water passed the local acid/base compatibility screen for HCl as strong_acid.,100.0,40.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
